person,personLabel
http://www.wikidata.org/entity/Q2157182,श्रीनिवासाराघवान वेंकटराघवन
http://www.wikidata.org/entity/Q27907535,राहुल यादव चित्तबोइना
http://www.wikidata.org/entity/Q27907566,सतविकसाईराज रणकीरेड्डी
http://www.wikidata.org/entity/Q1393283,मनोज कुमार
http://www.wikidata.org/entity/Q3532534,बालाजी राव
http://www.wikidata.org/entity/Q3534595,निरुपमा संजीव
http://www.wikidata.org/entity/Q3534600,बजरंग लाल तहर
http://www.wikidata.org/entity/Q3535057,सलीम दुरानी
http://www.wikidata.org/entity/Q3535561,पॉली उम्रीगर
http://www.wikidata.org/entity/Q465054,अंजू बॉबी जॉर्ज
http://www.wikidata.org/entity/Q467327,कर्णम मल्लेश्वरी
http://www.wikidata.org/entity/Q3595532,अश्विनी नाचप्पा
http://www.wikidata.org/entity/Q3595533,शिनी अब्राहम
http://www.wikidata.org/entity/Q3631406,डिंग्को सिंह
http://www.wikidata.org/entity/Q3714213,गिरीश नागराजेगौड़ा
http://www.wikidata.org/entity/Q3763791,भरत अरुण
http://www.wikidata.org/entity/Q3763965,नीलेश कुलकर्णी
http://www.wikidata.org/entity/Q3529521,आविष्कार सलवी
http://www.wikidata.org/entity/Q3529587,बक दीवेछा
http://www.wikidata.org/entity/Q3530007,रमेश पोवार
http://www.wikidata.org/entity/Q3530017,दिनेश मोंगिया
http://www.wikidata.org/entity/Q3530170,प्रीजा श्रीधरन
http://www.wikidata.org/entity/Q448385,अमी घिया
http://www.wikidata.org/entity/Q2332773,शिव चौरसिया
http://www.wikidata.org/entity/Q2341312,अखिल कुमार
http://www.wikidata.org/entity/Q3531863,प्रमिला भट्ट
http://www.wikidata.org/entity/Q3531869,दिलीप दोषी
http://www.wikidata.org/entity/Q3531880,राकेश शुक्ला
http://www.wikidata.org/entity/Q3531926,वेंकटपति राजू
http://www.wikidata.org/entity/Q3531966,प्रवीण आमरे
http://www.wikidata.org/entity/Q465036,अपर्णा पोपट
http://www.wikidata.org/entity/Q1397997,फतेहसिंह राव गायकवाड़
http://www.wikidata.org/entity/Q464311,साइना नेहवाल
http://www.wikidata.org/entity/Q3764003,सदाशिव पाटील
http://www.wikidata.org/entity/Q3764505,संजय बांगर
http://www.wikidata.org/entity/Q2366204,सुंदर देवधर
http://www.wikidata.org/entity/Q468366,limba ram
http://www.wikidata.org/entity/Q470772,राहुल द्रविड़
http://www.wikidata.org/entity/Q470774,महेंद्र सिंह धोनी
http://www.wikidata.org/entity/Q1421742,ज्योतषना पी
http://www.wikidata.org/entity/Q3536900,बुधी कुंदेरन
http://www.wikidata.org/entity/Q3536937,विनय कुमार
http://www.wikidata.org/entity/Q3567859,मधुसूदन रेगे
http://www.wikidata.org/entity/Q3595504,रुद्र प्रताप सिंह
http://www.wikidata.org/entity/Q3595506,मनोज तिवारी
http://www.wikidata.org/entity/Q467931,अश्विनी पोनप्पा
http://www.wikidata.org/entity/Q468309,विजय अमृतराज
http://www.wikidata.org/entity/Q1494953,शंकर लक्ष्मण
http://www.wikidata.org/entity/Q2350423,अशोक अमृतराज
http://www.wikidata.org/entity/Q2285553,एन. सिक्की रेड्डी
http://www.wikidata.org/entity/Q470893,विजेन्द्र सिंह
http://www.wikidata.org/entity/Q2370461,गरिमा चौधरी
http://www.wikidata.org/entity/Q1422443,सरोजिनी गोगटे
http://www.wikidata.org/entity/Q27058460,अनवार सुल्तान
http://www.wikidata.org/entity/Q2373828,सैयद मोहम्मद आरिफ
http://www.wikidata.org/entity/Q539689,सुमन देवधर
http://www.wikidata.org/entity/Q540286,मंजूषा कंवर
http://www.wikidata.org/entity/Q2441322,विकास गौड़ा
http://www.wikidata.org/entity/Q1562625,प्रणय कुमार
http://www.wikidata.org/entity/Q1572511,सयाली गोखले
http://www.wikidata.org/entity/Q1473394,प्रणव चोपड़ा
http://www.wikidata.org/entity/Q2393817,तारा देवधर
http://www.wikidata.org/entity/Q511986,रोहन बोपन्ना
http://www.wikidata.org/entity/Q540310,श्रुति कुरियन-कानेटकर
http://www.wikidata.org/entity/Q2489730,जेजे लालपेखलुआ
http://www.wikidata.org/entity/Q1559952,रामनाथन कृष्णन्
http://www.wikidata.org/entity/Q558189,कपिलदेव
http://www.wikidata.org/entity/Q561004,सुनील छेत्री
http://www.wikidata.org/entity/Q540471,कुंजरानी देवी
http://www.wikidata.org/entity/Q553898,विकास कृष्ण यादव
http://www.wikidata.org/entity/Q555232,पेंटाला हरिकृष्णा
http://www.wikidata.org/entity/Q556714,लेस्ली क्लॉडियस
http://www.wikidata.org/entity/Q558182,सुनील गावस्कर
http://www.wikidata.org/entity/Q27058498,सनत मिश्र
http://www.wikidata.org/entity/Q611021,hiwikw
http://www.wikidata.org/entity/Q2508461,ज़हीर ख़ान
http://www.wikidata.org/entity/Q2524130,विजय मेहरा
http://www.wikidata.org/entity/Q620287,यादविंदर सिंह
http://www.wikidata.org/entity/Q1580188,पी॰ कश्यप
http://www.wikidata.org/entity/Q654460,विजय कुमार
http://www.wikidata.org/entity/Q716000,नॉर्मन प्रिचर्ड
